Marca temporal,¿Qué edad tienes?,¿Con que género te identificas?,¿A qué rama pertenece la licenciatura que actualmente estudias?,¿Qué tan importante es la educación de ciberseguridad para ti?,¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,¿Para qué usas el internet?,,,,,Selecciona las redes sociales que utilizas en tu día a día,,,,,,Selecciona las plataformas de streaming que utilizas en tu día a día,,,,,,,¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,Selecciona la plataforma de videojuegos que más utilizas,Selecciona las plataformas educativas que utilizas en tu día a día,,,,¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,¿Alguna vez has sido víctima de alguna amenaza cibernética? ,¿Cuántas horas en promedio pasas en redes sociales al día? ,¿Usas las redes sociales como apoyo en tus estudios universitarios? ,¿Qué páginas usas para tus estudios?,,,,,¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,¿Qué tan familiarizado estas con las amenazas cibernéticas? ,¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Señala si has recibido alguna de estas amenazas  cibernéticas:,,,,,¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,,,,,¿A cuántas personas? ,¿Compartiste información sensibles con ellos?,¿Fuiste víctima de alguna de estas opciones?,,,,"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",¿Hiciste lo que se te pedía en el mensaje?,¿Reportaste la cuenta?,¿Lees los avisos de privacidad de las páginas en las que navegas? ,¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,¿Utilizas un administrador de contraseñas (Autofill)?,¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,¿Cuáles medidas tomas?,,,,,,¿Qué percepción tienes acerca de los peligros que puedes correr en línea?
18/11/2021 20:09:45,25 +,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Streaming,,,,Facebook,Instagram,Twitter,,,,Netflix,,,,,,,3-4 horas,38,38,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Regular,20,Ciber acoso,Spam,Spoofing,,,62,,,,,,,,,,,,56,,,Nunca,101,1 a 2 años,101,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
18/11/2021 20:13:53,25 +,Masculino,11,Muy importante,Proteger información personal en linea,Redes Sociales,,,,,Instagram,31,,,,,Netflix,,,,,,,1-2 horas,Nintendo,38,,,,Navegación web,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Videos,Muy poco,20,Spam,Spoofing,,,,61,Facebook,Instagram,,,,11 o más,62,95,,,,55,56,56,Casi nunca,101,Más de 2 años,101,102,,,,,,,Los considero importantes
18/11/2021 20:13:54,17-20,Femenino,Ciencia,Poco importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,,,,Netflix,,,,,,,1-2 horas,38,25,,,,Navegación web,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,,,,,Comunicación entre profesores y estudiantes,Muy poco,Avances sexuales no deseados por redes sociales,Spam,,,,,61,Facebook,TikTok,,,,11 o más,62,95,,,,55,56,55,Nunca,101,1 a 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
18/11/2021 20:14:21,17-20,Masculino,11,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,25,Facebook,31,,,,,25,,,,,,,Más de 4 horas,PC,25,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Algo,20,Spam,,,,,61,31,,,,,1 a 3,62,95,,,,56,,,A veces,102,Más de 2 años,102,102,,,,,,,No me preocupan
18/11/2021 20:16:04,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,25,,,Facebook,Instagram,31,,,,Netflix,25,,,,,,Más de 4 horas,38,25,,,,Redes sociales,56,Entre 3 y 4 horas,62,,,,,,,Regular,Que alguien use tus fotos de manera inapropiada,Robo de identidad,Spam,Phishing,,,61,Facebook,Instagram,,,,11 o más,62,Negocio pirámide (Pyramid scheme),,,,55,56,55,Casi siempre,101,Más de 2 años,101,102,,,,,,,Los considero importantes
18/11/2021 20:17:50,17-20,Masculino,11,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,TikTok,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,Xbox,25,,,,Redes sociales,56,Entre 1 y 2 horas,61,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,,Comunicación entre profesores y estudiantes,Regular,Avances sexuales no deseados por redes sociales,Spam,,,,,61,Facebook,Instagram,,,,1 a 3,62,95,,,,56,,,Nunca,101,Más de 2 años,102,102,,,,,,,Conozco los peligros pero no me afectan
18/11/2021 20:19:22,21-24,Masculino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,25,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,Disney +,25,,,1-2 horas,Xbox,38,,,,Smartphone,56,Entre 3 y 4 horas,61,Revistas científicas o similares,25,,,,Descarga de documentos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Facebook,Instagram,Twitter,,,11 o más,62,95,,,,56,,,Casi nunca,101,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
18/11/2021 20:20:02,25 +,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Streaming,25,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,25,,,,Menos de 1 hora,38,38,,,,Navegación web,55,Menos de 1 hora,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,Comunicación entre profesores y estudiantes,Regular,20,Robo de identidad,Spam,Phishing,Spoofing,,61,Facebook,,,,,1 a 3,62,95,,,,55,56,55,A veces,102,1 a 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
18/11/2021 20:29:19,21-24,Masculino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Twitter,TikTok,,,,,38,,,,,,,Menos de 1 hora,PC,Coursera,Chegg,25,,Redes sociales,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,Descarga de documentos,Regular,20,Ciber bullying,Spam,,,,61,Facebook,Instagram,TikTok,,,4 a 6,62,Fraude,,,,56,,,Casi nunca,101,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
18/11/2021 20:36:54,21-24,Femenino,Ciencias Sociales,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,PC,25,,,,Redes sociales,55,Entre 3 y 4 horas,61,Noticieros/periódicos,,,,,Videos,Muy poco,Que alguien use tus fotos de manera inapropiada,Robo de identidad,Spoofing,,,,61,Facebook,Instagram,,,,11 o más,62,Estafa,,,,55,55,55,Nunca,101,Más de 2 años,101,102,,,,,,,Los considero importantes
18/11/2021 20:38:07,21-24,Masculino,Ciencia,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,,,,,Instagram,Twitter,,,,,Netflix,Amazon Prime,,,,,,1-2 horas,Xbox,Chegg,,,,E-mail,55,Entre 1 y 2 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Descarga de documentos,Regular,Avances sexuales no deseados por redes sociales,Ciber bullying,Spam,Spoofing,,,61,Instagram,,,,,1 a 3,62,95,,,,55,56,55,Casi nunca,101,Más de 2 años,102,101,VF2 (autentificación de dos pasos),,,,,,Los considero importantes
18/11/2021 20:38:46,25 +,Masculino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,,,,,Facebook,Instagram,TikTok,,,,Netflix,HBO Max,,,,,,Menos de 1 hora,Nintendo,38,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Regular,Que alguien use tus fotos de manera inapropiada,Spam,Phishing,Spoofing,,,61,Facebook,Instagram,,,,1 a 3,62,95,,,,55,56,55,Casi nunca,102,1 a 6 meses,102,101,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,,Los considero importantes
18/11/2021 20:47:20,21-24,Masculino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,25,,,Instagram,31,,,,,Netflix,HBO Max,,,,,,1-2 horas,Xbox,Coursera,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,Videos,Algo,20,Spam,Phishing,,,,61,Facebook,,,,,11 o más,62,95,,,,55,56,55,Nunca,101,Más de 2 años,101,102,,,,,,,Me son indiferentes
18/11/2021 21:21:37,21-24,Femenino,Ciencia,Poco importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,25,,Facebook,Instagram,,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,Menos de 1 hora,38,Coursera,,,,Redes sociales,56,Entre 3 y 4 horas,62,,,,,,,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,62,,,,,,,,,,,,56,,,A veces,101,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
18/11/2021 21:25:21,21-24,Masculino,Ingeniería,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Plataformas educativas,,,,,Facebook,Instagram,TikTok,,,,Netflix,Amazon Prime,,,,,,Menos de 1 hora,38,25,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Nada,Que alguien use tus fotos de manera inapropiada,Spam,,,,,62,,,,,,,,,,,,56,,,Nunca,102,1 a 2 años,102,101,Tengo antivirus descargado en mi dispositivo,,,,,,Los considero importantes
18/11/2021 21:25:57,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,25,Facebook,Instagram,TikTok,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Xbox,Coursera,25,,,Navegación web,56,Entre 1 y 2 horas,61,Una página de un profesionista influyente en tu área,,,,,Colaboración de proyectos,Algo,20,Spam,Phishing,Spoofing,,,61,Facebook,Instagram,,,,11 o más,62,Extorsión,Negocio pirámide (Pyramid scheme),,,56,,,Nunca,101,1 a 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
18/11/2021 21:33:23,25 +,Masculino,11,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Videojuegos,Plataformas educativas,,,Facebook,Instagram,TikTok,,,,Netflix,Amazon Prime,HBO Max,,,,,Más de 4 horas,Xbox,Coursera,,,,Navegación web,55,Más de 4 horas,61,Una página de un profesionista influyente en tu área,25,,,,Colaboración de proyectos,Algo,Que alguien use tus fotos de manera inapropiada,Ciber acoso,Spam,Phishing,,,61,Facebook,Instagram,31,,,1 a 3,61,Extorsión,,,,55,56,55,Casi nunca,101,1 a 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
18/11/2021 21:44:21,17-20,Masculino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,,,,Instagram,Twitter,31,,,,Netflix,,,,,,,1-2 horas,PC,38,,,,Navegación web,55,Entre 1 y 2 horas,62,,,,,,,Algo,20,Spam,,,,,61,31,,,,,4 a 6,62,95,,,,55,55,56,Casi nunca,101,Más de 2 años,102,101,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,,Conozco los peligros pero no me afectan
18/11/2021 21:46:33,21-24,Femenino,11,Poco importante,Proteger información personal en linea,Redes Sociales,,,,,Instagram,,,,,,Netflix,Amazon Prime,,,,,,Menos de 1 hora,38,38,,,,Navegación web,56,Entre 1 y 2 horas,62,,,,,,,Muy poco,20,Spam,,,,,62,,,,,,,,,,,,55,56,56,Casi nunca,101,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Tapar tu cámara cuando no la estés usando,,,,Conozco los peligros pero no me afectan
18/11/2021 22:08:59,21-24,Masculino,Ciencia,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Plataformas educativas,25,,,Facebook,Instagram,,,,,Netflix,Amazon Prime,Claro Video,Blim,HBO Max,Disney +,25,1-2 horas,Play Station,38,,,,Navegación web,56,Entre 1 y 2 horas,62,,,,,,,Algo,Intimidación o acoso por parte de amigos o conocidos,Spam,Phishing,,,,61,Facebook,,,,,6 a 10,62,95,,,,55,56,56,A veces,102,1 a 2 años,101,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
18/11/2021 22:34:51,21-24,Masculino,Ciencia,Importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,,,,,Facebook,Instagram,,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,Menos de 1 hora,38,Chegg,,,,Redes sociales,56,Entre 3 y 4 horas,61,Revistas científicas o similares,,,,,Videos,Muy poco,Avances sexuales no deseados por redes sociales,Robo de identidad,Spam,,,,61,Facebook,Instagram,,,,11 o más,62,95,,,,56,,,Nunca,102,Más de 2 años,102,101,Tapar tu cámara cuando no la estés usando,,,,,,Los considero importantes
18/11/2021 22:47:45,17-20,Femenino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,25,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,Blim,HBO Max,,,,3-4 horas,38,Coursera,25,,,Redes sociales,55,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,25,,Videos,Mucho,20,Spam,Phishing,Spoofing,,,61,Facebook,,,,,1 a 3,62,95,,,,55,56,55,Casi nunca,102,7 a 12 meses,101,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,114,,Los considero importantes
18/11/2021 22:54:41,21-24,Femenino,Ciencias Sociales,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Instagram,Twitter,TikTok,,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,Xbox,Coursera,25,,,Redes sociales,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Comunicación entre profesores y estudiantes,Regular,Intimidación o acoso por parte de amigos o conocidos,Spam,Phishing,,,,61,Facebook,Instagram,,,,1 a 3,62,95,,,,55,56,55,Casi nunca,101,Más de 2 años,101,102,,,,,,,Los considero importantes
18/11/2021 22:58:01,17-20,Femenino,Ciencia,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,,,,,Instagram,TikTok,Snapchat,,,,Netflix,38,,,,,,Menos de 1 hora,Nintendo,Chegg,25,,,Redes sociales,56,Más de 4 horas,61,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,,Colaboración de proyectos,Nada,Intimidación o acoso por parte de amigos o conocidos,No aplica,,,,,62,,,,,,,,,,,,56,,,Nunca,102,Más de 2 años,102,102,,,,,,,Conozco los peligros pero no me afectan
18/11/2021 22:59:48,21-24,Femenino,Ciencias Sociales,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,,,,,1-2 horas,38,38,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Descarga de documentos,Regular,Que alguien use tus fotos de manera inapropiada,Ciber acoso,Spam,,,,61,Facebook,Instagram,,,,1 a 3,62,95,,,,56,,,Nunca,102,1 a 2 años,102,102,,,,,,,Los considero importantes
18/11/2021 23:21:02,21-24,Femenino,Humanidades,Importante,Proteger información personal en linea,Redes Sociales,25,,,,Instagram,,,,,,Netflix,HBO Max,Disney +,,,,,Menos de 1 hora,38,Coursera,25,,,Navegación web,56,Entre 1 y 2 horas,61,Una página de un profesionista influyente en tu área,,,,,Colaboración de proyectos,Muy poco,20,No aplica,,,,,62,,,,,,,,,,,,55,56,55,Casi nunca,102,Más de 2 años,101,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Los considero importantes
18/11/2021 23:21:19,21-24,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Instagram,,,,,,Netflix,Amazon Prime,Disney +,,,,,1-2 horas,Nintendo,25,,,,Navegación web,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,,Videos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,62,,,,,,,,,,,,55,56,56,A veces,101,Más de 2 años,101,101,Tapar tu cámara cuando no la estés usando,,,,,,Los considero importantes
18/11/2021 23:22:25,21-24,Masculino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,25,Facebook,Instagram,TikTok,,,,Netflix,Amazon Prime,Claro Video,,,,,3-4 horas,38,38,,,,E-mail,56,Entre 3 y 4 horas,62,,,,,,,Mucho,Intimidación o acoso por parte de amigos o conocidos,Spam,,,,,61,Facebook,Instagram,TikTok,,,11 o más,61,95,,,,55,56,56,Casi nunca,102,7 a 12 meses,102,101,Leer los avisos de privacidad,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
18/11/2021 23:23:26,17-20,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,,,,,,,Menos de 1 hora,38,Khan Academy,Coursera,25,,Redes sociales,56,Entre 1 y 2 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Videos,Regular,Avances sexuales no deseados por redes sociales,Ciber bullying,,,,,61,Instagram,,,,,1 a 3,62,95,,,,55,56,56,Nunca,101,1 a 2 años,102,101,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,,Los considero importantes
18/11/2021 23:26:22,17-20,Femenino,Ciencias Sociales,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,Claro Video,HBO Max,Disney +,,,3-4 horas,38,25,,,,Redes sociales,55,Más de 4 horas,61,Noticieros/periódicos,Revistas científicas o similares,,,,Descarga de documentos,Regular,Intimidación o acoso por parte de amigos o conocidos,Spam,Phishing,,,,61,Instagram,,,,,4 a 6,62,95,,,,55,56,55,Casi nunca,101,7 a 12 meses,101,102,,,,,,,Los considero importantes
