,Marca temporal,¿Qué edad tienes?,¿Con que género te identificas?,¿A qué rama pertenece la licenciatura que actualmente estudias?,¿Qué tan importante es la educación de ciberseguridad para ti?,¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,¿Para qué usas el internet?,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Selecciona las redes sociales que utilizas en tu día a día,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Selecciona las plataformas de streaming que utilizas en tu día a día,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,Selecciona la plataforma de videojuegos que más utilizas,Selecciona las plataformas educativas que utilizas en tu día a día,Unnamed: 27,Unnamed: 28,Unnamed: 29,¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,¿Alguna vez has sido víctima de alguna amenaza cibernética? ,¿Cuántas horas en promedio pasas en redes sociales al día? ,¿Usas las redes sociales como apoyo en tus estudios universitarios? ,¿Qué páginas usas para tus estudios?,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,¿Qué tan familiarizado estas con las amenazas cibernéticas? ,¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Señala si has recibido alguna de estas amenazas  cibernéticas:,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,¿A cuántas personas? ,¿Compartiste información sensibles con ellos?,¿Fuiste víctima de alguna de estas opciones?,Unnamed: 56,Unnamed: 57,Unnamed: 58,"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",¿Hiciste lo que se te pedía en el mensaje?,¿Reportaste la cuenta?,¿Lees los avisos de privacidad de las páginas en las que navegas? ,¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,¿Utilizas un administrador de contraseñas (Autofill)?,¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,¿Cuáles medidas tomas?,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,¿Qué percepción tienes acerca de los peligros que puedes correr en línea?
141,2/12/2021 20:07:12,17-20,Masculino,Ciencia,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,HBO Max,25,,,,,Menos de 1 hora,Xbox,Khan Academy,Coursera,,,E-mail,55,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Descarga de documentos,Regular,Que alguien use tus fotos de manera inapropiada,Robo de identidad,Spoofing,,,,61,Facebook,,,,,6 a 10,62.0,Negocio pirámide (Pyramid scheme),,,,55,56.0,56.0,Casi nunca,102,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
142,2/12/2021 20:16:38,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,25,,Facebook,Instagram,,,,,Netflix,Disney +,,,,,,Menos de 1 hora,Xbox,25,,,,Redes sociales,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,Revistas científicas o similares,25,,,Descarga de documentos,Regular,Intimidación o acoso por parte de amigos o conocidos,Ciber bullying,Spam,Phishing,Spoofing,,61,Facebook,,,,,4 a 6,62.0,95,,,,55,56.0,55.0,Casi nunca,102,7 a 12 meses,101,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,Los considero importantes
143,2/12/2021 20:17:11,21-24,Masculino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Videojuegos,,,,31,,,,,,Netflix,,,,,,,Menos de 1 hora,Xbox,Khan Academy,,,,Aplicaciones,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,,,,,Colaboración de proyectos,Nada,Avances sexuales no deseados por redes sociales,Robo de identidad,Spam,,,,61,Facebook,Instagram,,,,4 a 6,62.0,95,,,,56,,,Casi nunca,102,Más de 2 años,102,102,,,,,,,Los considero importantes
144,2/12/2021 20:39:59,21-24,Masculino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Xbox,38,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Regular,Avances sexuales no deseados por redes sociales,Spam,,,,,61,Facebook,,,,,1 a 3,62.0,95,,,,55,56.0,55.0,Siempre,102,7 a 12 meses,101,101,Cambio constante de contraseñas,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
145,2/12/2021 21:11:52,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,25,,,,,31,,,,,,Netflix,,,,,,,Menos de 1 hora,38,25,,,,Navegación web,56,Menos de 1 hora,61,Revistas científicas o similares,,,,,Comunicación entre profesores y estudiantes,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,62,,,,,,,,,,,,55,56.0,55.0,Casi nunca,101,Más de 2 años,101,101,Leer los avisos de privacidad,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Los considero importantes
146,3/12/2021 19:30:35,21-24,Masculino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,Play Station,Coursera,,,,Navegación web,56,Entre 1 y 2 horas,61,Una página de un profesionista influyente en tu área,,,,,Colaboración de proyectos,Regular,Que alguien use tus fotos de manera inapropiada,No aplica,,,,,62,,,,,,,,,,,,55,56.0,55.0,A veces,101,Más de 2 años,102,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,,,,Los considero importantes
147,3/12/2021 19:39:43,25 +,Masculino,Ciencias Sociales,Poco importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,,,,Instagram,,,,,,Netflix,25,,,,,,1-2 horas,38,38,,,,Navegación web,56,Entre 1 y 2 horas,62,,,,,,,Muy poco,20,Spam,,,,,61,Instagram,,,,,1 a 3,62.0,95,,,,55,56.0,55.0,Casi nunca,102,1 a 2 años,102,102,,,,,,,Conozco los peligros pero no me afectan
148,3/12/2021 19:40:13,21-24,Masculino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,HBO Max,,,,,Menos de 1 hora,38,Coursera,,,,Navegación web,55,Entre 3 y 4 horas,61,Tutoriales o crash courses,,,,,Videos,Algo,20,Robo de identidad,Spam,,,,62,,,,,,,,,,,,56,,,Nunca,102,1 a 2 años,102,101,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,,Los considero importantes
149,3/12/2021 20:04:16,17-20,Femenino,Ciencias Sociales,Poco importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,TikTok,,,,Netflix,HBO Max,Disney +,,,,,3-4 horas,38,Coursera,,,,Navegación web,56,Entre 1 y 2 horas,61,25,,,,,Descarga de documentos,Muy poco,Intimidación o acoso por parte de amigos o conocidos,Spam,,,,,61,Facebook,,,,,11 o más,62.0,95,,,,55,56.0,56.0,Nunca,101,Más de 2 años,101,102,,,,,,,Conozco los peligros pero no me afectan
150,3/12/2021 20:08:58,21-24,Femenino,Ingeniería,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,,,,,,1-2 horas,38,Khan Academy,Coursera,Chegg,25.0,Redes sociales,55,Entre 1 y 2 horas,61,Tutoriales o crash courses,,,,,Colaboración de proyectos,Algo,Avances sexuales no deseados por redes sociales,Ciber acoso,Spam,Phishing,Spoofing,,61,Facebook,Instagram,Twitter,,,11 o más,62.0,Negocio pirámide (Pyramid scheme),Fraude,,,56,,,Casi nunca,101,Más de 2 años,102,101,Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,,Los considero importantes
